election_year,election_regio_code,municipality_code,cbs_gm_code,election_municipality,cbs_municipality,province_code,province_code_pv,province,raw_name_match,normalized_name_match
2023,G0534,0534,GM0534,Hillegom,Hillegom,28,PV28,Zuid-Holland,true,true
2023,G0537,0537,GM0537,Katwijk,Katwijk,28,PV28,Zuid-Holland,true,true
2023,G0542,0542,GM0542,Krimpen aan den IJssel,Krimpen aan den IJssel,28,PV28,Zuid-Holland,true,true
2023,G0546,0546,GM0546,Leiden,Leiden,28,PV28,Zuid-Holland,true,true
2023,G0547,0547,GM0547,Leiderdorp,Leiderdorp,28,PV28,Zuid-Holland,true,true
2023,G0553,0553,GM0553,Lisse,Lisse,28,PV28,Zuid-Holland,true,true
2023,G0556,0556,GM0556,Maassluis,Maassluis,28,PV28,Zuid-Holland,true,true
2023,G0569,0569,GM0569,Nieuwkoop,Nieuwkoop,28,PV28,Zuid-Holland,true,true
2023,G0575,0575,GM0575,Noordwijk,Noordwijk,28,PV28,Zuid-Holland,true,true
2023,G0579,0579,GM0579,Oegstgeest,Oegstgeest,28,PV28,Zuid-Holland,true,true
2023,G0589,0589,GM0589,Oudewater,Oudewater,26,PV26,Utrecht,true,true
2023,G0590,0590,GM0590,Papendrecht,Papendrecht,28,PV28,Zuid-Holland,true,true
2023,G0597,0597,GM0597,Ridderkerk,Ridderkerk,28,PV28,Zuid-Holland,true,true
2023,G0599,0599,GM0599,Rotterdam,Rotterdam,28,PV28,Zuid-Holland,true,true
2023,G0603,0603,GM0603,Rijswijk,Rijswijk,28,PV28,Zuid-Holland,true,true
2023,G0606,0606,GM0606,Schiedam,Schiedam,28,PV28,Zuid-Holland,true,true
2023,G0610,0610,GM0610,Sliedrecht,Sliedrecht,28,PV28,Zuid-Holland,true,true
2023,G0613,0613,GM0613,Albrandswaard,Albrandswaard,28,PV28,Zuid-Holland,true,true
2023,G0622,0622,GM0622,Vlaardingen,Vlaardingen,28,PV28,Zuid-Holland,true,true
2023,G0626,0626,GM0626,Voorschoten,Voorschoten,28,PV28,Zuid-Holland,true,true
2023,G0627,0627,GM0627,Waddinxveen,Waddinxveen,28,PV28,Zuid-Holland,true,true
2023,G0629,0629,GM0629,Wassenaar,Wassenaar,28,PV28,Zuid-Holland,true,true
2023,G0632,0632,GM0632,Woerden,Woerden,26,PV26,Utrecht,true,true
2023,G0637,0637,GM0637,Zoetermeer,Zoetermeer,28,PV28,Zuid-Holland,true,true
2023,G0638,0638,GM0638,Zoeterwoude,Zoeterwoude,28,PV28,Zuid-Holland,true,true
2023,G0642,0642,GM0642,Zwijndrecht,Zwijndrecht,28,PV28,Zuid-Holland,true,true
2023,G0654,0654,GM0654,Borsele,Borsele,29,PV29,Zeeland,true,true
2023,G0664,0664,GM0664,Goes,Goes,29,PV29,Zeeland,true,true
2023,G0668,0668,GM0668,West Maas en Waal,West Maas en Waal,25,PV25,Gelderland,true,true
2023,G0677,0677,GM0677,Hulst,Hulst,29,PV29,Zeeland,true,true
2023,G0678,0678,GM0678,Kapelle,Kapelle,29,PV29,Zeeland,true,true
2023,G0687,0687,GM0687,Middelburg,Middelburg,29,PV29,Zeeland,true,true
2023,G0703,0703,GM0703,Reimerswaal,Reimerswaal,29,PV29,Zeeland,true,true
2023,G0715,0715,GM0715,Terneuzen,Terneuzen,29,PV29,Zeeland,true,true
2023,G0716,0716,GM0716,Tholen,Tholen,29,PV29,Zeeland,true,true
2023,G0717,0717,GM0717,Veere,Veere,29,PV29,Zeeland,true,true
2023,G0718,0718,GM0718,Vlissingen,Vlissingen,29,PV29,Zeeland,true,true
2023,G0736,0736,GM0736,De Ronde Venen,De Ronde Venen,26,PV26,Utrecht,true,true
2023,G0737,0737,GM0737,Tytsjerksteradiel,Tytsjerksteradiel,21,PV21,Fryslân,true,true
2023,G0743,0743,GM0743,Asten,Asten,30,PV30,Noord-Brabant,true,true
2023,G0744,0744,GM0744,Baarle-Nassau,Baarle-Nassau,30,PV30,Noord-Brabant,true,true
2023,G0748,0748,GM0748,Bergen op Zoom,Bergen op Zoom,30,PV30,Noord-Brabant,true,true
2023,G0753,0753,GM0753,Best,Best,30,PV30,Noord-Brabant,true,true
2023,G0755,0755,GM0755,Boekel,Boekel,30,PV30,Noord-Brabant,true,true
2023,G0757,0757,GM0757,Boxtel,Boxtel,30,PV30,Noord-Brabant,true,true
2023,G0758,0758,GM0758,Breda,Breda,30,PV30,Noord-Brabant,true,true
2023,G0762,0762,GM0762,Deurne,Deurne,30,PV30,Noord-Brabant,true,true
2023,G0765,0765,GM0765,Pekela,Pekela,20,PV20,Groningen,true,true
2023,G0766,0766,GM0766,Dongen,Dongen,30,PV30,Noord-Brabant,true,true
2023,G0770,0770,GM0770,Eersel,Eersel,30,PV30,Noord-Brabant,true,true
2023,G0772,0772,GM0772,Eindhoven,Eindhoven,30,PV30,Noord-Brabant,true,true
2023,G0777,0777,GM0777,Etten-Leur,Etten-Leur,30,PV30,Noord-Brabant,true,true
2023,G0779,0779,GM0779,Geertruidenberg,Geertruidenberg,30,PV30,Noord-Brabant,true,true
2023,G0784,0784,GM0784,Gilze en Rijen,Gilze en Rijen,30,PV30,Noord-Brabant,true,true
2023,G0785,0785,GM0785,Goirle,Goirle,30,PV30,Noord-Brabant,true,true
2023,G0794,0794,GM0794,Helmond,Helmond,30,PV30,Noord-Brabant,true,true
2023,G0796,0796,GM0796,'s-Hertogenbosch,'s-Hertogenbosch,30,PV30,Noord-Brabant,true,true
2023,G0797,0797,GM0797,Heusden,Heusden,30,PV30,Noord-Brabant,true,true
2023,G0798,0798,GM0798,Hilvarenbeek,Hilvarenbeek,30,PV30,Noord-Brabant,true,true
